university_id,university_name,university_short_name,university_type,verified,campus_name,campus_town,campus_region,is_main_campus
ug,University of Ghana,UG,public,True,Legon Campus,"Legon, Accra",Greater Accra,True
ug,University of Ghana,UG,public,True,Korle-Bu Campus (College of Health Sciences),"Korle-Bu, Accra",Greater Accra,False
ug,University of Ghana,UG,public,True,Accra City Campus,Accra Central,Greater Accra,False
ug,University of Ghana,UG,public,True,Kumasi City Campus,"Adum, Kumasi",Ashanti,False
ug,University of Ghana,UG,public,True,Takoradi City Campus,"Chapel Hill, Takoradi",Western,False
knust,Kwame Nkrumah University of Science and Technology,KNUST,public,True,Main Campus,Kumasi,Ashanti,True
knust,Kwame Nkrumah University of Science and Technology,KNUST,public,True,Obuasi Campus,Obuasi,Ashanti,False
ucc,University of Cape Coast,UCC,public,True,South Campus (Old Site),Cape Coast,Central,True
ucc,University of Cape Coast,UCC,public,True,North Campus (New Site),Cape Coast,Central,False
uew,"University of Education, Winneba",UEW,public,True,Winneba North Campus (Central Administration),Winneba,Central,True
uew,"University of Education, Winneba",UEW,public,True,Winneba Central Campus,Winneba,Central,False
uew,"University of Education, Winneba",UEW,public,True,Winneba South Campus,Winneba,Central,False
uew,"University of Education, Winneba",UEW,public,True,Ajumako Campus (College of Languages Education),Ajumako,Central,False
uds,University for Development Studies,UDS,public,True,"Tamale Campus (Central Administration, Medicine)",Tamale,Northern,True
uds,University for Development Studies,UDS,public,True,"Nyankpala Campus (Agriculture, Engineering)",Nyankpala,Northern,False
uds,University for Development Studies,UDS,public,True,"Tamale City Campus (Business School, Graduate School)",Tamale,Northern,False
cktutas,CK Tedam University of Technology and Applied Sciences,CKT-UTAS,public,False,Navrongo Campus,Navrongo,Upper East,True
sdd-ubids,Simon Diedong Dombo University of Business and Integrated Development Studies,SDD-UBIDS,public,False,Wa Campus,Wa,Upper West,True
aamusted,Akenten Appiah-Menka University of Skills Training and Entrepreneurial Development,AAMUSTED,public,True,"Kumasi Campus (Main, former COLTEK, Tanoso)",Kumasi,Ashanti,True
aamusted,Akenten Appiah-Menka University of Skills Training and Entrepreneurial Development,AAMUSTED,public,True,Asante-Mampong Campus (former CAGRIC),Asante-Mampong,Ashanti,False
upsa,"University of Professional Studies, Accra",UPSA,public,False,Main Campus,"Legon, Accra",Greater Accra,True
